3,0,1,12,8,11,5,7,14,4,18,9,13,16,10,6,15,2,17,19
Samsn1,Ifi30,Htra1,Mgst3,Rps12,Anxa1,Rps20-ps10,Napsa,Fstl1,Sub1,Syngr1,LOC691141,Eef1a1,Pecam1,Rps8,Rpl19,hist1h2ail2,Ccl6,Runx3,Tsc22d1
Camp,Glul,Mmp2,Urod,Rps27a,Elane,Mt-cyb,Plscr1,Il33,LOC100359583,Degs1,Unc93b1,Id2,C2H1orf54,Rpl24,Rpl11,Srrm2,Tyrobp,Flt3,Prelp
Msrb1,Dab2,Cavin3,Aqp1,Rpl24,Plscr1,Fstl1,Tkt,Plat,Rpl5,Basp1,Rnaset2,Rpl27,Cd151,Rps23,Rpl27,Hist1h4m-3,Ifit3,Irf8,Vkorc1
Itm2b,Cd300le,Ppib,Klf1,Rpl19,B4galt6,Postn,Cklf,Col1a1,Rpl11,Mapkapk2,Cox5a,Rps4x,Plvap,Rpl23a,Rps27,Mki67,Fcgr2a-ps1,C1qbp,Serpinh1
H3f3a,Cyba,Gpx8,Cpox,Rpl30l2,Arhgdib,Pcolce,Lrg1,Cfb,Fcrla,Cd7,Rpl18,Rps19,Lmna,Cd72,Rplp2,Arid1b,Lrg1,Hpse,Ucma
Mcemp1,Cd63,Gja1,Sptb,Rps3,Tkt,Mt-nd1,Mmp8,Fndc1,LOC100365810,Gch1,Tkt,Mt-co2,Cdh5,ENSRNOG00000070540,Rpl13a,Prpf4b,Clec7a,Blnk,Papss2
LOC120095659,Gdf15,Sdc2,Xpo7,Rps19,Dut,Mt-nd2,Anxa3,Ugdh,Rpl23a,Mctp1,S100a10,Rel,Emcn,Ccr7,B3galt4,LOC102549173-2,Crem,Rgs2,Cpe
Il1r2,Hmox1,C1r,Mki67,Rpl15,Mctp1,Mt-nd4,Alox5ap,Tnfaip6,Rps15,Zfp36l2,LOC687780,Rpl14,Serpinh1,Rel,Rpl5,Rbm39,Sdcbp,LOC102547700,Plod2
Tf,Fabp5,Tceal9,Atp5if1,Rpl14,Clec12a,Mmp3,Rac2,Mt1,Rpl37,Vat1,Rpl7a,Rpl15,RGD1564664,Rps29,Oaz1,Tra2b,Mcl1,Rel,Crispld1
Nos2,Bcl2a1,Tnn,Kel,Rpl9-ps30,Alas1,Ppia,Chi3l1,Ubxn1,Rbm39,Sytl3,Ctsz,RT1-DMb,Flt1,LOC687780,Rps24,Camk2d,Scimp,LOC24906,Matn3
Gmfg,Pltp,Mmp14,Myo5c,Rpl34,Sun2,B3galt4,Serpinb10,Loxl1,Rps23,Rac2,Mgst2,Psme1,Selenom,Rpl27,Tifa,Fryl,Clec4e,Ccnd1,Chrdl1
Fcer1g,Ckb,Copz2,Bnip3l,Rpl26,Prtn3,Col5a3,Cpne3,Col1a2,Dnaja1,Chpt1,Cd68,Rps25,Rhoj,Rpl5,Tpt1,ENSRNOG00000066901,Ftl1,Prkar1a,Rplp1
Emb,Ctsd,Efemp2,Ucp2,Rpl37,C3,Plod2,Ifitm2,Mfap4,Rps15a,Gpr183,Cd302,Rps23,Gnas,Rpl18a,Rps3,Bcar3,Cd274,Unc93b1,Fam180a
Trem1,Ctsa,Tsc22d1,Ube2c,ENSRNOG00000063418,Degs2,Nupr1l1,Coro1a,Ifitm3,Rpl18a,Serpinb1a,Rpl24,Pfn1,Rhoc,Rps6-1,Rpl17,Mt-atp8,Eif1,Ctsz,Cd24
Trib1,Prdx1,Col5a1,Rbm38,Rps13,Ggh,Ctsk,Pfn1,Sparc,Rps6-1,Alox5ap,Itgb7,Fgl2,Myl12b,Rpl34,Hnrnpf,Sfpq,Cd53,Srsf7,Col27a1
Cxcr2,Slamf9,Gpx3,Emb,Rpl17,Rpia,Calr,Ifitm1,Ctsh,Rpl34,Alox5,Rps27a,B3galt4,S100a6,Rps15a,Rps19,Hist1h4b,Gadd45a,Sod1,Alpl
Prok2,Tmem176a,Mxra8,Bpgm,Rps24,Rgcc,Lmna,S100a11,Il6,Rpl15,Prpf4b,RT1-DMb,Rgs1,Fabp4,Rps14,Hnrnpa3,Tex14,Sirpal1,Tmsb10,Sox9
Ctsc,S100a4,Nme2,Isca1,LOC100365810,H2az1,Rps2,Actr3,Sod3,Rps12,Sat1,S100a4,Nap1l1,Ehd2,Rps3,Rps4x,Myb,Tspo,Cd47,Il17b
Osm,RT1-DMb,Aspn,Arf5,Rpl37a-ps1,Tuba4a,Mt-nd3,Orm1,Pcolce,Btg1,Cck,Rpl18a,Ckb,Tmsb10,Rps16,Myb,Ankrd33b,Ccrl2,Atp1b3,Col6a1
Lilrb4,Capg,Gpx7,Hist3h2ba,Rpl30,Plbd1,Mmp14,Slc2a3,Nbl1,Mt-co3,Ifitm1,Rps6-1,LOC100360413,Rbpms,Rps24,H3f3b,H2bc18,Fth1-ps5,Laptm5,Serpine1
Klf2,Sdc4,Serf2,Trak2,Rpl35,Syne1,Mt3,Cystm1,Fn1,Rps3,Kctd12,Rnase2,Bcl2a1,Tpm4,Mt-co3,Anp32e,Nbr1,Ets2,Pabpc1,Edil3
LOC120099372,Cst3,Nedd4,Ubac1,Rpl27,Gpi,Rps21,Mcemp1,Ly6e,Rpl30,Nucb2,Rps12,Cd83,Serpine1,Rpl30l2,Rpl36a,Prkce,Olr1,Ptprcap,Pth1r
Slpi,Pld3,Col6a3,Mkrn1,Rpl4,Anxa3,Mt-atp6,Retnlg,Gpx3,Cxcr4,Enpp3,Itm2b,Rps6-1,Ptms,Rplp1,Pclaf,Tmem131l,Cxcl3,Bcl11a,Mif
Stfa2l2,Cfh,Maged1,H1f4,Rplp0,Txn1,Cthrc1,Flot1,Lum,Rps29,Nipsnap3a,Taldo1,Rps24,Cdh13,Rps4x,Hnrnpd,Mt-nd4l,Nudt4,AABR07060872.1,Anxa8
